familia;codigo;descricao;representante;
CBHM10000-2E;CBHM10000-2E SS RS/RD P750(I) M17;Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos – FORRAGEIRO - C/ PNEUS - Molas e Freios não Incluídos;Galo;33
CBHM10000-2E;CBHM10000-2E SS RS/RS M17;Carreta Hidráulica 6t (10m3) RS/RS de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;25
CBHM10000-2E;CBHM10000-2E SS RS/RS R15,5 M17;"Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos - FORRAGEIRA - RODA 15,5"" - Molas, Freios e Pneus não Incluídos";Galo;31
CBHM10000-2E;CBHM10000-2E SS RS/RS R15,5 P400 M17;"Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos - FORRAGEIRA - RODA 15,5"" - PNEUS 400/60 - Molas, Freios e Pneus não Incluídos";Galo;36
CBHM10000-2E;CBHM10000-2E SS RS/T M20;Carreta Hidráulica 6t (10m3) RS/T de 2 Eixos - FORRAGEIRO - Molas, Freios e Pneus não Incluídos;Galo;24
CBHM10000;CBHM10000 SS RD P750(I) M17;Carreta Hidráulica 7t (10m3) RD de 1 Eixo – FORRAGEIRO - C/ PNEUS - Molas e Freios não Incluídos;Galo;27
CBHM3500;CBHM3500 CS RD M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ MOLAS - Freios e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 CS RS M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ MOLAS - Freios e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SC RD M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Molas e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SC RD P750(I) M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - C/ PNEUS - Molas não Incluídas;Galo;26
CBHM3500;CBHM3500 SC RD BE M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ FREIOS + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos;Galo;21
CBHM3500;CBHM3500 SC RS M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ FREIOS - Molas e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SS RD M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SS RD MM M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;21
CBHM3500;CBHM3500 SS RD P750(I) M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 750(I) - Molas e Freios não Incluídos;Galo;26
CBHM3500;CBHM3500 SS RS M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SC RD BE M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ FREIOS + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos;Galo;21
CBHM3500;CBHM3500 SC RS M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ FREIOS - Molas e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SS RD M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SS RD MM M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;21
CBHM3500;CBHM3500 SS RD P750(I) M17;Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 750(I) - Molas e Freios não Incluídos;Galo;26
CBHM3500;CBHM3500 SS RS M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;18
CBHM3500;CBHM3500 SS RS MM M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos;Galo;21
CBHM3500;CBHM3500 SS RS P750(I) M17;Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;26
CBHM4500;CBHM4500 SC RD M17;Carreta Hidráulica 4t (4,5m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;18
CBHM4500;CBHM4500 SC RS M17;Carreta Hidráulica 4t (4,5m3) RS de 1 Eixo - CAFEEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;18
CBHM4500;CBHM4500 SS RD M17;Carreta Hidráulica 4t (4,5m3) RD de 1 Eixo - CAFEEIRA - Molas, Freios e Pneus não Incluídos;Galo;18
CBHM4500;CBHM4500 SS RD MM M17;Carreta Hidráulica 4t (4,5m3) RD de 1 Eixo - CAFEEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;21
CBHM4500;CBHM4500 SS RD MM P750(I) M17;Carreta Hidráulica 4t (4,5m3) RD de 1 Eixo - CAFEEIRA - MANGUEIRAS MAIORES - C/ PNEUS 750(I) - Molas e Freios não Incluídos+;Galo;29
CBHM4500;CBHM4500 SS RD P750(I) M17;Carreta Hidráulica 4t (4,5m3) RD de 1 Eixo - CAFEEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;26
CBHM4500;CBHM4500 SS RS M17;Carreta Hidráulica 3,5t (4,5m3) RS de 1 Eixo - CAFEEIRA - Molas, Freios e Pneus não Incluídos;Galo;18
CBHM5000;CBHM5000 GR CS RD M17;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ MOLAS - Freios e Pneus não Incluídos;Galo;21
