"Chave";"Código";"Nome";"Referência Principal";"Descrição Genérica";"Classe";"CRM";"Un";"Localização física";"Classificação Fiscal";"Procedência";"Modelo";"Eixo";"Mola Freio";"Cor";"Tamanho";"Rodado";"Pneu";"Outras Características";"Volume";"Bruto";"Líquido"
"70693363";"CBHM5000 GR SC T P650(R) M20";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ FREIOS + PNEUS 650(R) - Molas não Incluídas";"622697M20";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Laranja";;"TANDEM";"650(R) - 650(R) (Un)";;0;"910";"900"
"70980716";"FTD5000 SS T BB M22";"Carreta Tanque Distribuidor de Esterco Líquido (5000L) 1 Eixo Tandem - TANQUE - BOMBA (MANG 6m) + KIT BOMBEIRO - Molas, Freios e Pneus não Incluídos";"622738M22";"Tanque";"Carretas Tanque";;"Un";;"8716.20.00";"Nacional - 0";"FTD5000";"1E";"SS";"Laranja";;"TANDEM";;"BOMBA";0;"707";"697"
"71008748";"CBHM6000 UG SC RD P650(R) M17";"Carreta Hidráulica 7t (6m3) RD de 1 Eixo - USO GERAL - C/ FREIOS + PNEUS 650(R) - Molas não Incluídas";"622717M17";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SC";"Laranja";;"RD";"650(R) - 650(R) (Un)";;0;"1174";"1164"
"71098366";"CBHM3500 SS RD P650(R) M17";"Carreta Hidráulica 5t (3,5m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 650(R) - Molas e Freios não Incluídos";"622723M17";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"SS";"Laranja";;"RD";"650(R) - 650(R) (Un)";;0;"860";"850"
"71128868";"CBHM5000 GR SS T MM M20";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos";"614938M20";"Graneleira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Laranja";;"TANDEM";;"MANG. MAIORES";0;"910";"900"
"71239002";"CBHM6000 UG SS RD P750(R) M17 AV";"Carreta Hidráulica 7t (6m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 750(R) - AMARELA - Molas e Freios não Incluídos";"622672M17AV";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SS";"Amarela";;"RD";"750(R) - 750(R) (Un)";;0;"1160";"1150"
"71361010";"CBHM3500 CS RS P650(R) M17 VM";"Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS 650(R) - VERMELHA - Freios não Incluídos";"622735M17VM";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"CS";"Vermelha";;"RS";"650(R) - 650(R) (Un)";;0;"791";"781"
"71361057";"CBHM3500 CS RS P650(R) M17";"Carreta Hidráulica 5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS 650(R) - Freios não Incluídos";"622735M17";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"CS";"Laranja";;"RS";"650(R) - 650(R) (Un)";;0;"791";"781"
"71363925";"CBHM5000 GR CS RD P650(R) M17 VM";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ MOLAS + PNEUS 650(R) - VERMELHA - Freios não Incluídos";"622736M17VM";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"CS";"Vermelha";;"RD";"650(R) - 650(R) (Un)";;0;"801";"791"
"71372501";"CBHM5000 GR SS RD P650(R) M17 VJ";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ PNEUS 650(R) - VERDE - Molas e Freios não Incluídos";"622503M17VJ";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Verde";;"RD";"650(R) - 650(R) (Un)";;0;"910";"900"
